"routeid","vehicleid","t1","lon1","lat1","t2","lon2","lat2","bear","tdiff"
1054553,39174,2017-07-21 00:51:51,24.0266733,49.8196266,2017-07-21 00:52:51,24.0326483,49.822245,55.8121144810695,60
1054553,39174,2017-07-21 00:52:51,24.0326483,49.822245,2017-07-21 00:53:51,24.03396,49.8265583,11.0992976841457,60
1054553,39174,2017-07-21 00:53:51,24.03396,49.8265583,2017-07-21 00:54:51,24.0327666,49.8294783,345.230795268042,60
1054553,39174,2017-07-21 00:54:51,24.0327666,49.8294783,2017-07-21 00:55:51,24.0353716,49.8334083,23.1487953437975,60
1054553,39174,2017-07-21 00:55:51,24.0353716,49.8334083,2017-07-21 00:56:51,24.035005,49.8350583,351.844749405341,60
1054553,39174,2017-07-21 00:56:51,24.035005,49.8350583,2017-07-21 00:57:51,24.035015,49.8374883,0.152071083365981,60
1054553,39174,2017-07-21 00:57:51,24.035015,49.8374883,2017-07-21 00:58:51,24.0355933,49.8413483,5.51872828809158,60
1054553,39174,2017-07-21 00:58:51,24.0355933,49.8413483,2017-07-21 00:59:51,24.0346133,49.8438816,345.992517474126,60
1054553,39174,2017-07-21 00:59:51,24.0346133,49.8438816,2017-07-21 01:00:51,24.03012,49.8446566,284.975795107704,60
1054553,39174,2017-07-21 01:00:51,24.03012,49.8446566,2017-07-21 01:01:51,24.0259216,49.8445733,268.239305595611,60
1054553,39174,2017-07-21 01:01:51,24.0259216,49.8445733,2017-07-21 01:02:51,24.0243633,49.84408,243.854323364614,60
1054553,39174,2017-07-21 01:02:51,24.0243633,49.84408,2017-07-21 01:03:51,24.0243633,49.84408,0,60
1054553,39174,2017-07-21 01:03:51,24.0243633,49.84408,2017-07-21 01:04:51,24.0226683,49.843235,232.294605624167,60
1054553,39174,2017-07-21 01:04:51,24.0226683,49.843235,2017-07-21 01:05:51,24.0195783,49.8428733,259.713238437803,60
1054553,39174,2017-07-21 01:05:51,24.0195783,49.8428733,2017-07-21 01:06:51,24.01818,49.8427333,261.175563815714,60
1054553,39174,2017-07-21 01:06:51,24.01818,49.8427333,2017-07-21 01:07:51,24.0145416,49.8411466,235.933737068695,60
1054553,39174,2017-07-21 01:07:51,24.0145416,49.8411466,2017-07-21 01:08:51,24.0080416,49.83861,238.824255386696,60
1054553,39174,2017-07-21 01:08:51,24.0080416,49.83861,2017-07-21 01:09:51,24.0053983,49.8376183,239.813923597843,60
1054553,39174,2017-07-21 01:09:51,24.0053983,49.8376183,2017-07-21 01:10:51,24.0021616,49.8371616,257.66081868476,60
1054553,39174,2017-07-21 01:10:51,24.0021616,49.8371616,2017-07-21 01:11:51,24.0007883,49.8373666,283.032109377655,60
1054553,39174,2017-07-21 01:11:51,24.0007883,49.8373666,2017-07-21 01:12:51,23.9975549,49.83858,300.194597404331,60
1054553,39174,2017-07-21 01:12:51,23.9975549,49.83858,2017-07-21 01:13:51,23.9944733,49.8393016,289.956110971748,60
1054553,39174,2017-07-21 01:13:51,23.9944733,49.8393016,2017-07-21 01:14:51,23.9944066,49.8384833,183.009252979956,60
1054553,39174,2017-07-21 01:14:51,23.9944066,49.8384833,2017-07-21 01:15:51,23.9944066,49.8384833,0,60
1054553,39174,2017-07-21 01:15:51,23.9944066,49.8384833,2017-07-21 01:16:51,23.9944066,49.8384833,0,60
1054553,39174,2017-07-21 01:16:51,23.9944066,49.8384833,2017-07-21 01:17:51,23.9944066,49.8384833,0,60
1054553,39174,2017-07-21 01:17:51,23.9944066,49.8384833,2017-07-21 01:18:51,23.994535,49.8384666,101.40154338509,60
1054553,39174,2017-07-21 01:18:51,23.994535,49.8384666,2017-07-21 01:19:51,23.9955833,49.8388216,62.2967305429336,60
1054553,39174,2017-07-21 01:19:51,23.9955833,49.8388216,2017-07-21 01:20:51,23.9969883,49.8386799,98.8872391180934,60
1054553,39174,2017-07-21 01:20:51,23.9969883,49.8386799,2017-07-21 01:21:51,24.0009116,49.83721,120.151245807423,60
1054553,39174,2017-07-21 01:31:51,24.0256216,49.8441016,2017-07-21 01:32:51,24.0265999,49.842425,159.37883785734,60
1054553,39174,2017-07-21 01:32:51,24.0265999,49.842425,2017-07-21 01:33:51,24.0279033,49.8403533,157.915172162243,60
1054553,39174,2017-07-21 01:33:51,24.0279033,49.8403533,2017-07-21 01:34:51,24.0319333,49.8392133,113.68171074374,60
1054553,39174,2017-07-21 01:39:51,24.0338883,49.8285116,2017-07-21 01:40:51,24.0334833,49.8261483,186.308586466921,60
1054553,39174,2017-07-21 01:40:51,24.0334833,49.8261483,2017-07-21 01:41:51,24.0332266,49.8234216,183.475646762798,60
1054553,39174,2017-07-21 01:41:51,24.0332266,49.8234216,2017-07-21 01:42:51,24.030575,49.8220116,230.504723593189,60
1054553,39174,2017-07-21 01:42:51,24.030575,49.8220116,2017-07-21 01:43:51,24.0248416,49.81806,223.112188780176,60
1054553,39174,2017-07-21 01:43:51,24.0248416,49.81806,2017-07-21 01:44:51,24.02762,49.8163916,132.94210955697,60
1054553,39174,2017-07-21 01:44:51,24.02762,49.8163916,2017-07-21 01:45:51,24.02965,49.81577,115.386387297744,60
1054553,39174,2017-07-21 01:45:51,24.02965,49.81577,2017-07-21 01:46:51,24.03676,49.8135366,115.954623926018,60
1054553,39174,2017-07-21 01:46:51,24.03676,49.8135366,2017-07-21 01:47:51,24.0429433,49.8112666,119.633928102914,60
1054553,39174,2017-07-21 01:47:51,24.0429433,49.8112666,2017-07-21 01:48:51,24.046445,49.8086516,139.166952115991,60
1054553,39174,2017-07-21 01:48:51,24.046445,49.8086516,2017-07-21 01:49:51,24.0463783,49.8012083,180.33138667546,60
1054553,39174,2017-07-21 01:49:51,24.0463783,49.8012083,2017-07-21 01:50:51,24.0488416,49.79856,149.019719755448,60
1054553,39174,2017-07-21 01:50:51,24.0488416,49.79856,2017-07-21 01:51:51,24.056345,49.7945866,129.361296113886,60
1054553,39174,2017-07-21 01:51:51,24.056345,49.7945866,2017-07-21 01:52:51,24.0586216,49.790415,160.591502588299,60
1054553,39174,2017-07-21 01:52:51,24.0586216,49.790415,2017-07-21 01:53:51,24.0587016,49.7880616,178.742748969013,60
1054553,39174,2017-07-21 01:53:51,24.0587016,49.7880616,2017-07-21 01:54:51,24.0592633,49.7849316,173.390729923818,60
1054553,39174,2017-07-21 01:54:51,24.0592633,49.7849316,2017-07-21 01:55:51,24.0594016,49.7852416,16.0687865932372,60
1054553,39174,2017-07-21 01:55:51,24.0594016,49.7852416,2017-07-21 01:56:51,24.0594016,49.7852416,0,60
1054553,39174,2017-07-21 01:56:51,24.0594016,49.7852416,2017-07-21 01:57:51,24.0594016,49.7852416,0,60
1054553,39174,2017-07-21 01:57:51,24.0594016,49.7852416,2017-07-21 01:58:51,24.0594016,49.7852416,0,60
1054553,39174,2017-07-21 01:58:51,24.0594016,49.7852416,2017-07-21 01:59:51,24.0594016,49.7852416,0,60
1054553,39174,2017-07-21 01:59:51,24.0594016,49.7852416,2017-07-21 02:00:51,24.0594016,49.7852416,0,60
1054553,39174,2017-07-21 02:00:51,24.0594016,49.7852416,2017-07-21 02:01:51,24.0594016,49.7852416,0,60
1054553,39174,2017-07-21 02:01:51,24.0594016,49.7852416,2017-07-21 02:02:51,24.0594016,49.7852416,0,60
1054553,39174,2017-07-21 02:02:51,24.0594016,49.7852416,2017-07-21 02:03:51,24.0594016,49.7852416,0,60
1054553,39174,2017-07-21 02:03:51,24.0594016,49.7852416,2017-07-21 02:05:51,24.05925,49.7884716,358.264368234191,120
1054553,39174,2017-07-21 02:05:51,24.05925,49.7884716,2017-07-21 02:06:51,24.0590533,49.792375,358.136767939875,60
1054553,39174,2017-07-21 02:06:51,24.0590533,49.792375,2017-07-21 02:07:51,24.0513683,49.7977149,317.110370855588,60
1054553,39174,2017-07-21 02:07:51,24.0513683,49.7977149,2017-07-21 02:08:51,24.0464366,49.8028033,327.972727943584,60
1054553,39174,2017-07-21 02:08:51,24.0464366,49.8028033,2017-07-21 02:09:51,24.0464983,49.8102116,0.307936537331907,60
1054553,39174,2017-07-21 02:09:51,24.0464983,49.8102116,2017-07-21 02:10:51,24.042945,49.813045,321.019536396888,60
1054553,39174,2017-07-21 02:10:51,24.042945,49.813045,2017-07-21 02:11:51,24.0386533,49.8136033,281.399679328929,60
1054553,39174,2017-07-21 02:11:51,24.0386533,49.8136033,2017-07-21 02:12:51,24.0297383,49.8158166,291.047834251995,60
1054553,39174,2017-07-21 02:12:51,24.0297383,49.8158166,2017-07-21 02:13:51,24.0255283,49.8174483,300.993800034754,60
1054553,39174,2017-07-21 02:13:51,24.0255283,49.8174483,2017-07-21 02:14:51,24.0277516,49.8205966,24.494919630102,60
1054553,39174,2017-07-21 02:14:51,24.0277516,49.8205966,2017-07-21 02:15:51,24.0322866,49.8221533,61.9831008231627,60
1054553,39174,2017-07-21 02:15:51,24.0322866,49.8221533,2017-07-21 02:16:51,24.0340649,49.8272066,12.7901627270901,60
1054553,39174,2017-07-21 02:16:51,24.0340649,49.8272066,2017-07-21 02:17:51,24.032565,49.8297133,338.894648883732,60
1054553,39174,2017-07-21 02:17:51,24.032565,49.8297133,2017-07-21 02:18:51,24.0356116,49.8338916,25.1876165426195,60
1054553,39174,2017-07-21 02:18:51,24.0356116,49.8338916,2017-07-21 02:19:51,24.034965,49.83558,346.125297160863,60
1054553,39174,2017-07-21 02:19:51,24.034965,49.83558,2017-07-21 02:20:51,24.0358033,49.8394783,7.89584166066879,60
1054553,39174,2017-07-21 02:20:51,24.0358033,49.8394783,2017-07-21 02:21:51,24.0354966,49.8417466,355.016530741238,60
1054553,39174,2017-07-21 02:21:51,24.0354966,49.8417466,2017-07-21 02:22:51,24.0332916,49.8443733,331.571875604902,60
1054553,39174,2017-07-21 02:22:51,24.0332916,49.8443733,2017-07-21 02:23:51,24.0275183,49.8447666,276.032617754703,60
1054553,39174,2017-07-21 02:23:51,24.0275183,49.8447666,2017-07-21 02:24:51,24.0249466,49.844315,254.768049423325,60
1054553,39174,2017-07-21 02:24:51,24.0249466,49.844315,2017-07-21 02:25:51,24.0249466,49.844315,0,60
1054553,39174,2017-07-21 02:25:51,24.0249466,49.844315,2017-07-21 02:26:51,24.0154666,49.8416266,246.266244408128,60
1054553,39174,2017-07-21 02:26:51,24.0154666,49.8416266,2017-07-21 02:27:51,24.0127783,49.8404133,235.015648183075,60
1054553,39174,2017-07-21 02:27:51,24.0127783,49.8404133,2017-07-21 02:28:50,24.00842,49.8386466,237.850672721208,59
